"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkFix","clock_backend","color_backend","compensation","coordinates","correct","correct_feedback","correct_keyboard_response","correct_selection","correct_sketchpad","count_README","count__pygaze_start_recording","count_blank","count_default_settings","count_eight_options","count_exp_sequence","count_experiment","count_eye_tracker","count_feedback","count_final_feedback","count_form_base","count_four_options","count_free_writing","count_free_writing_feedback","count_free_writing_loop","count_free_writing_script","count_get_input","count_globals","count_item","count_itemArray","count_keyboard_response","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_python_definitions","count_select_target","count_sketchpad","count_smoothing","count_speak_target","count_speech","count_two_options","datetime","description","disable_garbage_collection","ecc","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","free_writing","free_writing_text","fullscreen","height","itemIds","keyboard_backend","likelihoodThr","live_row","live_row_eight_options","logfile","loop_rt","mode2","mouse_backend","opensesame_codename","opensesame_version","opt2","opt4","opt8","repeat_cycle","response","response_feedback","response_free_writing_feedback","response_keyboard_response","response_sketchpad","response_time","response_time_feedback","response_time_free_writing_feedback","response_time_keyboard_response","response_time_sketchpad","round_decimals","rounds","sampler_backend","showCue","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","stabilize","start","subject_nr","subject_parity","synth_backend","target","time_README","time__pygaze_start_recording","time_blank","time_default_settings","time_eight_options","time_exp_sequence","time_experiment","time_eye_tracker","time_feedback","time_final_feedback","time_form_base","time_four_options","time_free_writing","time_free_writing_feedback","time_free_writing_loop","time_free_writing_script","time_get_input","time_globals","time_item","time_itemArray","time_keyboard_response","time_logger","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_python_definitions","time_select_target","time_sketchpad","time_smoothing","time_speak_target","time_speech","time_two_options","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width","winner"
"0","0","33.0055036715","33.0055036715","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","0","0","0","0","0","0","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","0","0","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.0055036715","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","19092.1909872","19092.1909872","NA","NA","1034.28740287","2","437","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","G","NA","NA","69251.1525851","12427.463791","12532.0378253","13124.5561676","5943.86853796","12429.0785434","50150.9596787","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","69633.1621223","13124.7533077","5944.50272172","69251.4544959","14399.6093121","NA","12427.298296","15461.5668829","14426.1265742","12428.6205456","14401.8261755","12428.5478476","NA","Attend-and-click training","0","33.0055036715","1","no","yes","1280","None"
"0","0","33.0079420502","33.0079420502","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","1","0","0","1","0","0","1","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","1","1","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.010380429","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","1505.44829265","1505.44829265","NA","NA","598.602743121","2","435","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","H","NA","NA","108166.223707","12427.463791","12532.0378253","70291.5778432","5943.86853796","12429.0785434","106649.236948","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","108544.69627","70291.7865294","5944.50272172","108166.386209","71534.9846628","69718.8603167","12427.298296","72167.3248693","71567.7394193","12428.6205456","71537.1117228","12428.5478476","NA","Attend-and-click training","0","66.0158841005","2","no","yes","1280","None"
"0","0","33.0077397785","33.0077397785","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","2","0","0","2","0","0","2","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","2","2","0","2","2","2","0","2","2","0","2","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","2","2","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.0073352352","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","738.368202059","738.368202059","NA","NA","3994.4385977","2","427","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","A","NA","NA","150280.784746","12427.463791","12532.0378253","109253.361324","5943.86853796","12429.0785434","149530.568469","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","150663.285636","109253.585405","5944.50272172","150280.958793","110949.317044","108640.806538","12427.298296","114978.815355","110983.218292","12428.6205456","110950.97285","12428.5478476","NA","Attend-and-click training","0","99.0232193356","3","no","yes","1280","None"
"0","0","33.0133265183","33.0133265183","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","3","0","0","3","0","0","3","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","3","3","0","3","3","3","0","3","3","0","3","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","3","3","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.0300867374","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","1009.652593","1009.652593","NA","NA","3506.53149391","2","438","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","C","NA","NA","192247.110145","12427.463791","12532.0378253","151358.774379","5943.86853796","12429.0785434","191230.674822","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","192625.560042","151358.98392","5944.50272172","192247.288041","153185.84791","150758.598364","12427.298296","156723.007528","153215.4078","12428.6205456","153187.796218","12428.5478476","NA","Attend-and-click training","0","132.053306073","4","no","yes","1280","None"
"0","0","33.010646675","33.010646675","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","4","0","0","4","0","0","4","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","4","4","0","4","4","4","0","4","4","0","4","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","4","4","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","32.9999273019","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","935.038716008","935.038716008","NA","NA","3635.37000539","2","436","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","F","NA","NA","233586.884242","12427.463791","12532.0378253","193301.645243","5943.86853796","12429.0785434","232636.86673","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","233963.650965","193301.838962","5944.50272172","233587.127567","194028.533137","192721.139615","12427.298296","197701.542354","194064.347627","12428.6205456","194030.747007","12428.5478476","NA","Attend-and-click training","0","165.053233375","5","no","yes","1280","None"
"0","0","33.0070178582","33.0070178582","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","5","0","0","5","0","0","5","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","5","5","0","5","5","5","0","5","5","0","5","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","5","5","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","32.9888737744","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","786.327545822","786.327545822","NA","NA","3081.79559099","2","437","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","G","NA","NA","273979.754015","12427.463791","12532.0378253","234637.326866","5943.86853796","12429.0785434","273179.722456","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","274356.128597","234637.515454","5944.50272172","273979.923359","235586.158544","234050.426374","12427.298296","238703.222534","235620.272327","12428.6205456","235588.083333","12428.5478476","NA","Attend-and-click training","0","198.042107149","6","no","yes","1280","None"
"0","0","33.0102404089","33.0102404089","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","6","0","0","6","0","0","6","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","6","6","0","6","6","6","0","6","6","0","6","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","6","6","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.0295757127","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","741.29323021","741.29323021","NA","NA","4165.73107103","2","432","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","H","NA","NA","315527.144818","12427.463791","12532.0378253","275054.450426","5943.86853796","12429.0785434","314776.648867","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","315906.399098","275054.66852","5944.50272172","315527.30347","276065.190497","274448.437184","12427.298296","280263.599777","276096.679452","12428.6205456","276067.636145","12428.5478476","NA","Attend-and-click training","0","231.071682862","7","no","yes","1280","None"
"0","0","33.0134475926","33.0134475926","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","7","0","0","7","0","0","7","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","7","7","0","7","7","7","0","7","7","0","7","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","7","7","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.0358978789","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","606.600813568","606.600813568","NA","NA","6275.89858021","2","434","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","C","NA","NA","358966.005955","12427.463791","12532.0378253","316533.601689","5943.86853796","12429.0785434","358349.135043","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","359344.360918","316533.789849","5944.50272172","358966.17145","317467.234339","315944.076369","12427.298296","323787.741309","317510.4589","12428.6205456","317469.464459","12428.5478476","NA","Attend-and-click training","0","264.107580741","8","no","yes","1280","None"
"0","0","33.0116323563","33.0116323563","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","8","0","0","8","0","0","8","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","8","8","0","8","8","8","0","8","8","0","8","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","8","8","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","32.9971104655","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","659.050332324","659.050332324","NA","NA","872.931472666","2","432","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","D","NA","NA","398356.504489","12427.463791","12532.0378253","360314.114245","5943.86853796","12429.0785434","397689.855498","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","398734.832938","360314.318654","5944.50272172","398356.65972","362263.89228","359660.84854","12427.298296","363174.046447","362299.750389","12428.6205456","362265.834174","12428.5478476","NA","Attend-and-click training","0","297.104691206","9","no","yes","1280","None"
"0","0","33.0135658446","33.0135658446","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","9","0","0","9","0","0","9","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","9","9","0","9","9","9","0","9","9","0","9","0","NA","10/25/17 15:43:27","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\GIT\UserModels\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","9","9","C:/Users/Richard/GIT/UserModels/EyeTracking Speller/Speller/subject-1543.csv","33.0309672393","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","6434.57665562","6434.57665562","NA","NA","2326.91551925","2","440","legacy","no","132","1024","2","48000","-16","no","experiment","1543","odd","legacy","E","NA","NA","444671.450912","12427.463791","12532.0378253","399440.514377","5943.86853796","12429.0785434","438221.616643","NA","8566.37440616","NA","NA","NA","NA","NA","12429.3188747","12427.5390549","12428.6970924","12428.9216012","NA","445051.415923","399440.757702","5944.50272172","444671.627954","401181.673758","398848.025114","12427.298296","403552.1119","401223.848901","12428.6205456","401183.581013","12428.5478476","NA","Attend-and-click training","0","330.135658446","10","no","yes","1280","None"
