"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkFix","clock_backend","color_backend","compensation","coordinates","correct","correct_feedback","correct_keyboard_response","correct_selection","correct_sketchpad","count_README","count__pygaze_start_recording","count_blank","count_default_settings","count_eight_options","count_exp_sequence","count_experiment","count_eye_tracker","count_feedback","count_final_feedback","count_form_base","count_four_options","count_free_writing","count_free_writing_feedback","count_free_writing_loop","count_free_writing_script","count_get_input","count_globals","count_item","count_itemArray","count_keyboard_response","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_python_definitions","count_select_target","count_sketchpad","count_smoothing","count_speak_target","count_speech","count_two_options","datetime","description","disable_garbage_collection","ecc","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","free_writing","free_writing_text","fullscreen","height","itemIds","keyboard_backend","likelihoodThr","live_row","live_row_eight_options","logfile","loop_rt","mode2","mouse_backend","opensesame_codename","opensesame_version","opt2","opt4","opt8","repeat_cycle","response","response_feedback","response_free_writing_feedback","response_keyboard_response","response_sketchpad","response_time","response_time_feedback","response_time_free_writing_feedback","response_time_keyboard_response","response_time_sketchpad","round_decimals","rounds","sampler_backend","showCue","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","stabilize","start","subject_nr","subject_parity","synth_backend","target","time_README","time__pygaze_start_recording","time_blank","time_default_settings","time_eight_options","time_exp_sequence","time_experiment","time_eye_tracker","time_feedback","time_final_feedback","time_form_base","time_four_options","time_free_writing","time_free_writing_feedback","time_free_writing_loop","time_free_writing_script","time_get_input","time_globals","time_item","time_itemArray","time_keyboard_response","time_logger","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_python_definitions","time_select_target","time_sketchpad","time_smoothing","time_speak_target","time_speech","time_two_options","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width","winner"
"0","0","414.337430937","414.337430937","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","0","0","0","0","0","0","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","0","0","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","414.337430937","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","5339.58023298","5339.58023298","NA","NA","52113.2537075","2","309","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","A","NA","NA","517071.570791","38843.5521116","38984.2899541","39442.1751254","20730.5083731","38845.2673578","511721.776056","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","517456.298644","39442.3765417","20730.9667984","517071.736713","41986.9981698","NA","38843.3883273","94139.3860865","42024.9615129","38844.7584715","41988.8891741","38844.6789313","NA","Attend-and-click training","0","414.337430937","1","no","yes","1280","None"
"0","0","209.985055635","209.985055635","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","1","0","0","1","0","0","1","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","1","1","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","5.63268033392","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","1234.13514998","1234.13514998","NA","NA","1852.98874462","2","2","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","C","NA","NA","530154.48889","38843.5521116","38984.2899541","518260.942338","20730.5083731","38845.2673578","528904.581687","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","530532.239442","518261.162142","20730.9667984","530154.651392","519635.01779","517601.874326","38843.3883273","521526.330802","519672.400404","38844.7584715","519637.310344","38844.6789313","NA","Attend-and-click training","0","419.970111271","2","no","yes","1280","None"
"0","0","153.838440014","153.838440014","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","2","0","0","2","0","0","2","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","2","2","0","2","2","2","0","2","2","0","2","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","2","2","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","41.5452087717","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","3078.40568922","3078.40568922","NA","NA","1237.68366943","2","29","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","B","NA","NA","579477.532458","38843.5521116","38984.2899541","531226.0182","20730.5083731","38845.2673578","576376.902123","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","579859.324593","531226.212774","20730.9667984","579477.706933","532142.877731","530595.381109","38843.3883273","533410.487761","532171.806418","38844.7584715","532144.890183","38844.6789313","NA","Attend-and-click training","0","461.515320042","3","no","yes","1280","None"
"0","0","120.770865834","120.770865834","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","3","0","0","3","0","0","3","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","3","3","0","3","3","3","0","3","3","0","3","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","3","3","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","21.5681432921","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","1756.64160727","1756.64160727","NA","NA","1233.35984675","2","14","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","B","NA","NA","608490.827218","38843.5521116","38984.2899541","580483.822548","20730.5083731","38845.2673578","606723.702554","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","608865.331589","580484.028669","20730.9667984","608490.988437","582417.011769","579903.960333","38843.3883273","583678.299208","582443.892082","38844.7584715","582419.240177","38844.6789313","NA","Attend-and-click training","0","483.083463335","4","no","yes","1280","None"
"0","0","97.743567421","97.743567421","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","4","0","0","4","0","0","4","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","4","4","0","4","4","4","0","4","4","0","4","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","4","4","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","5.63437377056","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","1507.80221005","1507.80221005","NA","NA","1652.53331279","2","2","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","C","NA","NA","621639.37454","38843.5521116","38984.2899541","609476.049418","20730.5083731","38845.2673578","620122.727545","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","622014.903098","609476.243992","20730.9667984","621639.563983","611334.03209","608951.305999","38843.3883273","613028.574605","611374.986316","38844.7584715","611336.293426","38844.6789313","NA","Attend-and-click training","0","488.717837105","5","no","yes","1280","None"
"0","0","119.091507943","119.091507943","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","5","0","0","5","0","0","5","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","5","5","0","5","5","5","0","5","5","0","5","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","5","5","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","225.831210551","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","11302.8202562","11302.8202562","NA","NA","0.176185858436","2","169","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","E","NA","NA","871735.600657","38843.5521116","38984.2899541","622621.173945","20730.5083731","38845.2673578","860418.9558","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","872115.123758","622621.372796","20730.9667984","871735.775132","633166.428046","622099.179368","38843.3883273","633208.698534","633206.646311","38844.7584715","633168.552539","38844.6789313","NA","Attend-and-click training","0","714.549047656","6","no","yes","1280","<Item object at 0x0D4B2450>"
"0","0","103.452870595","103.452870595","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","6","0","0","6","0","0","6","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","6","6","0","6","6","6","0","6","6","0","6","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","6","6","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","9.62104650959","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","479.226749507","479.226749507","NA","NA","1085.18884389","2","5","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","D","NA","NA","887558.979918","38843.5521116","38984.2899541","872726.434717","20730.5083731","38845.2673578","887058.763535","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","887934.07357","872726.866201","20730.9667984","887559.153538","874915.86314","872196.613982","38843.3883273","876038.934931","874952.592754","38844.7584715","874917.468056","38844.6789313","NA","Attend-and-click training","0","724.170094165","7","no","yes","1280","None"
"0","0","93.721436246","93.721436246","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","7","0","0","7","0","0","7","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","7","7","0","7","7","7","0","7","7","0","7","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","7","7","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","25.6013958023","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","3180.35399669","3180.35399669","NA","NA","0.132139422931","2","17","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","G","NA","NA","994993.369939","38843.5521116","38984.2899541","888543.52175","20730.5083731","38845.2673578","991793.19974","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","995367.432562","888543.74241","20730.9667984","994993.526881","964671.017858","888019.012675","38843.3883273","964710.966713","964709.776176","38844.7584715","964673.723936","38844.6789313","NA","Attend-and-click training","0","749.771489968","8","no","yes","1280","None"
"0","0","89.2466354113","89.2466354113","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","8","0","0","8","0","0","8","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","8","8","0","8","8","8","0","8","8","0","8","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","8","8","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","53.4482287336","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","11568.4494792","11568.4494792","NA","NA","3655.08287575","2","38","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","A","NA","NA","1069066.43703","38843.5521116","38984.2899541","995974.195618","20730.5083731","38845.2673578","1057482.8779","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","1069441.49048","995974.391047","20730.9667984","1069066.59867","998878.546809","995453.474111","38843.3883273","1002566.384","998910.035323","38844.7584715","998880.58492","38844.6789313","NA","Attend-and-click training","0","803.219718701","9","no","yes","1280","None"
"0","0","81.4150918133","81.4150918133","#4c4c4c","no","psycho","no","psycho","psycho","0","relative","undefined","undefined","NA","0","undefined","0","NA","9","0","0","9","0","0","9","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","9","9","0","9","9","9","0","9","9","0","9","0","NA","09/18/17 13:49:58","A brain-computer interface based on covert attention and pupillometry","yes","390","NA","Speller_program.osexp","C:/Users/Richard/Desktop/EyeTracking Speller/Speller","no","mono","no","18","no","white","no","C:\Users\Richard\Desktop\EyeTracking Speller\Speller\__pool__\8afc.png","no","NA","yes","1024","ABCDEFGH","psycho","1.375","9","9","C:/Users/Richard/Desktop/EyeTracking Speller/Speller/subject-22.csv","10.931199432","90upmirror","psycho","Jazzy James","3.1.9","no","no","yes","0","space","space","NA","NA","space","8751.90212275","8751.90212275","NA","NA","3804.39694843","2","6","legacy","no","132","1024","2","48000","-16","no","experiment","22","even","legacy","H","NA","NA","1096414.64994","38843.5521116","38984.2899541","1070044.80979","20730.5083731","38845.2673578","1087647.83659","NA","27888.3024581","NA","NA","NA","NA","NA","38845.5102547","38843.6474744","38844.8337354","38845.0719283","NA","1096788.57657","1070045.00522","20730.9667984","1096414.8103","1071424.64977","1069525.14711","38843.3883273","1075274.02756","1071468.33872","38844.7584715","1071426.83755","38844.6789313","NA","Attend-and-click training","0","814.150918133","10","no","yes","1280","None"
